alpha,theta,lambda,shock_country,mean_CR,mean_M,share_high_M,share_assets_shock_country,network_density,spectral_radius,average_degree,clustering_coefficient,initial_defaults_ratio,initial_total_capital_loss,mean_CR_after_shock,L_mean,L_std,N_mean,cascade_depth_mean
0.010618101782710436,0.04876785766024791,0.19639878836228103,PL,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.007420625800850038,0.028323375653472743,140732.07550243865,5.834615384615384,0.06431816574211513,0.0,1381.685632651037,0.06686594671052772,17463624.605506442,3325501.6553267404,97.9,5.6
0.008575058159419955,0.04484887711788977,0.1472965531464846,NO,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.01319928428982693,0.02809932785660941,135204.14347904682,5.788461538461538,0.0646841866887409,0.0,1223.2720608562286,0.06692117444644206,16327932.691347893,2733544.0475775576,97.8,7.0
0.013680426180764697,0.030172572371272646,0.20912826897709136,PT,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.009122124643713184,0.028061986557132185,176521.57512765523,5.7807692307692315,0.06842088320384698,0.0,1023.4014791346017,0.06687970626501945,1023.4014791346017,0.0,0.0,0.0
0.015059087145820181,0.030635052869220008,0.09806455369837337,FI,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02462076900155218,0.028566094100074678,80443.50338582127,5.884615384615385,0.060771585320904,0.0,2028.9646264138123,0.0669359908054973,2028.9646264138123,4.547473508864641e-13,0.0,0.0
0.00797763429257992,0.03760855824770676,0.18385170859791328,CY,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0009273096783299663,0.02879947722180732,128205.48320395166,5.9326923076923075,0.06821338142816151,0.0,41.94627875033984,0.066975554862174,17365928.824430592,3156148.492777645,96.1,8.5
0.01200643945973574,0.04817768651863968,0.1921334613175753,ES,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.13758152094569126,0.028388722927557876,172602.44838353395,5.848076923076922,0.06142583210735878,0.04807692307692308,15049.295030679128,0.06650377580998289,14030469.788378188,2417250.890734428,99.0,4.7
0.016388423199854996,0.025807350898017976,0.12617195565852735,ES,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.13758152094569126,0.02840739357729648,113008.21582109237,5.851923076923077,0.08345593512244427,0.0,20541.828128925812,0.06632594022105986,20541.82812892581,0.0,0.0,0.0
0.018890530036035084,0.02716364043498648,0.173843469320887,CY,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0009273096783299663,0.02794062733383122,127657.36878973767,5.75576923076923,0.05859780907884332,0.0,99.32611718867633,0.066954375777612,99.32611718867633,0.0,0.0,0.0
0.015664167209376866,0.030047722233999433,0.06817310185832155,BE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02288107687537083,0.02782860343539955,51193.91117464895,5.732692307692308,0.0711774100492438,0.0,3406.4915977536084,0.06678385777408656,3406.4915977536084,4.547473508864641e-13,0.0,0.0
0.01248077583551365,0.034059381309616596,0.14082350749278064,BE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02288107687537083,0.028342046303211355,91690.04070548332,5.838461538461538,0.06329979596060249,0.0,2714.1984280959964,0.06682596238960402,13209770.653787972,9333596.882735189,65.9,8.8
