LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final,lat,lon
549300NYKK9MWM7GGW15,ING Groep N.V.,NL,1086759.756,0.4210856193391527,0.0409787279573775,0.2148536742993702,52.3730796,4.8924534
549300OLBL49CW8CT155,"Ibercaja Banco, S.A.",ES,46893.066,0.0162952496685144,0.0563915569095012,0.5354449171235347,41.6468911,-0.8841904
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,NO,47974.9537778528,0.0167163976461837,0.0697902978657242,0.17803763107164,59.9133301,10.7389701
549300RG3H390KEL8896,Banca Transilvania,RO,41034.8838712218,0.0140148268678705,0.0838190227417963,0.6167781086606554,44.3872207,26.1096412
549300TK038P6EV4YU51,Akcinė bendrovė Šiaulių bankas,LT,5081.178,1.9077190917981884e-05,0.0948066471987401,0.4971101002814511,54.6870458,25.2829111
549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",IT,816816.11412,0.3160042780117912,0.0564341305235659,0.273522848053298,41.8933203,12.4829321
549300U4LIZV0REEQQ46,"Kutxabank, S.A.",ES,67572.058,0.0243449899829158,0.0881161847993441,0.4934724900044852,42.8766745,-8.5462141
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",GR,77801.977,0.0283272049471346,0.0926338157191044,0.2978966520357053,37.9549803,23.7151034
635400AKJBGNS5WNQL34,AIB Group plc,IE,144453.7157715,0.0542728210880904,0.0645882699995531,0.2216563569190846,53.3493795,-6.2605593
635400C8EK6DRI12LJ39,Bank of Ireland Group plc,IE,137266.1330237,0.0514749006378063,0.0580594293479939,0.2586018680344442,53.3493795,-6.2605593
635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company,CY,26050.664,0.0081818985134696,0.0815525434207742,0.2018368768686282,35.1746503,33.3638783
724500A1FNICHSDF2I11,de Volksbank N.V.,NL,75684.869868,0.0275030756747616,0.0473745947648908,0.202302753732982,52.3730796,4.8924534
724500JIWG886A9RRT57,RBS Holdings N.V.,NL,40677.18254396,0.0138755839688659,0.0403443625385426,0.4391459036671378,52.3730796,4.8924534
7437003B5WFBOIEFY714,OP Osuuskunta,FI,144757.11929724,0.0543909274054913,0.1109279744638173,0.1819669484984384,60.1666204,24.9435408
7CUNS533WID6K7DGFI87,"CaixaBank, S.A.",ES,579897.271,0.2237785465687686,0.0510862823546552,0.4010503613760312,40.3836895,-3.7473292
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,DE,1395879.86706988,0.5414172399554505,0.0347605650655802,0.2450431590528557,52.5173885,13.3951309
7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM S.P.A.,IT,40364.02581,0.013753681006377,0.0853821670371189,0.6691707784764679,43.7140233,10.4217423
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,NO,30201.2639073894,0.0097976083799594,0.0654753620626839,0.2352458668874554,63.349745,10.3542897
815600AD83B2B6317788,CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,IT,54812.319,0.0193779884274464,0.0651988258150508,0.340341936651783,41.8933203,12.4829321
815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,IT,194217.112,0.0736442883628052,0.0468473821915341,0.3886590943558856,41.8933203,12.4829321
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,DE,599092.10201461,0.2312505454479417,0.0428014152916251,0.2568956487128981,52.5173885,13.3951309
95980020140005881190,Banco de Crédito Social Cooperativo,ES,64539.953014,0.0231646782083718,0.0607015207487086,0.4023419353721597,40.416782,-3.703507
96950001WI712W7PQG45,RCI Banque,FR,73168.971887,0.0265237085274376,0.0837967501334995,0.1513537535194154,48.8534951,2.3483915
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,FR,988217.604762,0.3827259774625868,0.0737892727091032,0.2517612779013255,48.8534951,2.3483915
96950066U5XAAIRCPA78,La Banque Postale,FR,317493.2204452,0.1216321525659467,0.0551701448503317,0.6139420716414359,48.7727748,5.1624276
969500STN7T9MRUMJ267,Bpifrance,FR,103166.698368,0.0382009657261682,0.2290983150733565,0.4515379885977733,49.4381308,1.101995
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg,LU,30115.98828611,0.0097644130188679,0.0505785172506699,0.3649412727121033,49.6201086,6.1425318
9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,AT,203049.45870059,0.0770824683914309,0.0860269418813734,0.2053363117569935,48.2083537,16.3725042
A5GWLFH3KM7YV2SFQL84,Belfius Bank,BE,170146.657292,0.0642743485877445,0.0669135724555619,0.4253458088827644,51.2309108,5.3048912
AT0000000000043000VB,VOLKSBANK WIEN AG VB,AT,32596.99973261,0.0107301998358164,0.0721700306082628,0.2412986733172681,48.2083537,16.3725042
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,DE,366481.86634518,0.1407020316900841,0.0389271349660262,0.3255369628569873,49.0051245,8.414316
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,NL,414295.121539,0.1593143648200769,0.04905029850953,0.1881637012050586,52.3634679,4.8822599
