LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,GR,101507.349952,0.03755502883331034,0.07814231779128143,0.2249949864242255
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",PT,105492.94671251,0.039106507692629265,0.06337260984536712,0.32729274649519874
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A.",ES,746954.769,0.28880925389113893,0.0691254800730779,0.3347884030393076
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,DK,261751.072683232,0.09993332826876457,0.04588647391069135,0.22669639711819373
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,IT,90728.178918,0.03335900575693322,0.09940479794211667,0.5532634251053244
M312WZV08Y7LYUC71685,Swedbank - Grupp,SE,243394.191181088,0.09278751917543458,0.06453430926062943,0.35377067778179083
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,GR,81249.260154,0.029669133711356387,0.0630769529997707,0.3947698108541264
MAES062Z21O4RZ2U7M96,Danske Bank A/S,DK,429188.905804365,0.165112089178929,0.0469997661390467,0.2143222784275769
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,IE,199586.47853389,0.07573442922898733,0.07239791602838032,0.30248979234215306
N747OI7JINV7RUUH6190,BPER Banca S.p.A.,IT,144528.170147,0.05430180404761028,0.062392697207944124,0.42173162221252775
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,SE,302582.926015733,0.11582800127228232,0.04400663186858417,0.314340325357273
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,IT,165725.373689,0.06255326929817037,0.09931091921919992,0.5322136349230949
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,FR,1380480.01686054,0.5354225185944738,0.038056215484274784,0.2692167023138951
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,128385.317776206,0.04801785318972459,0.08393621514879313,0.6626659604834904
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,103838.14001,0.038462338758972515,0.06680744587038948,0.35981177902957057
R0MUWSFPU8MPRO8K5P83,BNP Paribas,FR,2573933.922967,1.0,0.038183017657155316,0.2638517449279815
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A.",ES,252376.61,0.09628411798873426,0.04100386022302107,0.41239373317378897
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",PT,106244.312257,0.03939899281542119,0.09333228483802129,0.2781760917876116
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,DE,30786.43044431,0.010025396981206988,0.10604019403955839,0.2010159369533924
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,DE,282416.56597908,0.10797781392360596,0.04600017326169289,0.5003576829016868
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",ES,131772.988097,0.049336576382479666,0.041953173376705566,0.41846586603434366
